name
DELAWARE VERTICAL
3RD BONE SPRING SAND
WOLFCAMP D
MIDDLE AVALON
2ND BONE SPRING SAND
3RD BONE SPRING
WOLFCAMP B LOWER
WOLFCAMP A UPPER
WOLFCAMP XY
WOLFCAMP C
WOLFCAMP A LOWER
ABOVE UPPER AVALON
LOWER PENNSYLVANIAN AND MISSISSIPPIAN
WOLFCAMP B UPPER
2ND BONE SPRING
1ST BONE SPRING
